"","strategy_id","primary_id","field","value","sector","subsector","model_variable","category_value","category_name","gas","gas_name","model_variable_information","design_id","future_id","strategy","strategy_code","baseline_strategy_id","description"
"1",1015,15015,"demscalar_ippu_cement",0,"IPPU","IPPU","Industrial Production Scalar","cement","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"2",1015,15015,"demscalar_ippu_chemicals",0,"IPPU","IPPU","Industrial Production Scalar","chemicals","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"3",1015,15015,"demscalar_ippu_construction_and_demolition",0,"IPPU","IPPU","Industrial Production Scalar","construction_and_demolition","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"4",1015,15015,"demscalar_ippu_electronics",0,"IPPU","IPPU","Industrial Production Scalar","electronics","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"5",1015,15015,"demscalar_ippu_glass",0,"IPPU","IPPU","Industrial Production Scalar","glass","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"6",1015,15015,"demscalar_ippu_lime_and_carbonite",0,"IPPU","IPPU","Industrial Production Scalar","lime_and_carbonite","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"7",1015,15015,"demscalar_ippu_metals",0,"IPPU","IPPU","Industrial Production Scalar","metals","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"8",1015,15015,"demscalar_ippu_mining",0,"IPPU","IPPU","Industrial Production Scalar","mining","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"9",1015,15015,"demscalar_ippu_other_industries",0,"IPPU","IPPU","Industrial Production Scalar","other_industries","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
"10",1015,15015,"demscalar_ippu_other_product_manufacturing",0,"IPPU","IPPU","Industrial Production Scalar","other_product_manufacturing","cat_industry","",""," | Exogenous scalar that can be used to represent exogenous shocks todemand (assuming production and demand are in equilibrium).
 | 
 | **NOTE:** Excludes categories that are derviced from model integration, including agricultural and livestock production (AFOLU) and recycling (Circular Economy)",0,0,"LNDU: Partial land use reallocation","LNDU:PLUR",0,"Set land use reallocation factor to 0.5"
